iteration,crudeOil,HVC,CHP,LTH,MTH,HTH,DH,SpaceHeating,rawBiogas,syngas,coal
88,-176.4096731,-463.7751333,-0.328095909,-0.075588615,-0.001275799,-0.119274022,-0.032254551,-0.000538978,-0.146595082,-185.2559572,-0.030345705
89,-211.6138853,-485.5963871,-0.311907686,-0.071068295,-0.001223354,-0.112519921,-0.030970517,-0.000526162,-0.132012574,-215.5691264,-0.034574287
90,-177.0815023,-346.0136188,-0.320947525,-0.079783853,-0.00152731,-0.12654224,-0.035374612,-0.000651673,-0.154201346,-205.6571929,-0.03178136
91,-159.1697963,-422.7277398,-0.29281442,-0.069156758,-0.001092491,-0.120765476,-0.028885489,-0.000375438,-0.141632638,-141.2999893,-0.026695324
92,-234.3479246,-399.2689819,-0.308407662,-0.075268806,-0.001203684,-0.117960798,-0.031714088,-0.000550551,-0.151062355,-131.280466,-0.028694497
93,-178.690361,-602.812992,-0.418874335,-0.107714517,-0.001725639,-0.17584417,-0.044090088,-0.000620929,-0.202704244,-214.4077129,-0.033919101
94,-306.5151009,-349.2295711,-0.393767611,-0.098823028,-0.001454324,-0.170728464,-0.040669529,-0.000552164,-0.196178093,-0.355345543,-0.047433768
95,-198.2577564,-439.9813066,-0.407986683,-0.109297362,-0.001638387,-0.160636314,-0.046931212,-0.000578798,-0.185438775,-230.1084785,-0.042144929
96,-335.1120456,-372.3009036,-0.414516022,-0.109074185,-0.001996618,-0.178083407,-0.046531695,-0.000705625,-0.195378588,-0.307053381,-0.049173442
97,-152.2397387,-517.9028168,-0.33473781,-0.07907525,-0.001283484,-0.154461716,-0.033066015,-0.000508868,-0.186132229,-146.839524,-0.025681493
98,-334.8120205,-501.6706775,-0.337881329,-0.079967369,-0.002005104,-0.147622021,-0.03368651,-0.000549917,-0.167554915,-0.450192366,-0.03017512
99,-160.5602156,-470.5465702,-0.291702974,-0.073790891,-0.001205067,-0.139369879,-0.030893077,-0.000583983,-0.159031433,-188.6430782,-0.027458171
100,-358.3098357,-348.8871108,-0.337233167,-0.087328219,-0.001422912,-0.128704317,-0.038378003,-0.000623984,-0.165138511,-0.527763427,-0.037325751
